name,link,salary,min_salary,max_salary,currency,city,main_link
Программист-разработчик python (midle),https://hh.ru/vacancy/37674249?query=python,"['100', '000', '180', '000', 'руб.']",100000,180000,руб.,Москва,https://hh.ru
Инженер-программист (Python) в отдел интеграции,https://hh.ru/vacancy/38090479?query=python,"['120', '000', '160', '000', 'руб.']",120000,160000,руб.,Москва,https://hh.ru
Middle Python developer,https://hh.ru/vacancy/37833603?query=python,"['до', '400', '000', 'KZT']",,400000,KZT,Алматы,https://hh.ru
Python developer,https://hh.ru/vacancy/38148332?query=python,,,,,Минск,https://hh.ru
Senior Python Developer,https://hh.ru/vacancy/35095020?query=python,,,,,Минск,https://hh.ru
Junior Python специалист,https://hh.ru/vacancy/37900668?query=python,"['50', '000', '70', '000', 'руб.']",50000,70000,руб.,Москва,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/38081405?query=python,"['140', '000', '200', '000', 'руб.']",140000,200000,руб.,Москва,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37483469?query=python,"['150', '000', '220', '000', 'руб.']",150000,220000,руб.,Москва,https://hh.ru
Python-разработчик (Django),https://hh.ru/vacancy/37990060?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Москва,https://hh.ru
Python Developer на бэкенд,https://hh.ru/vacancy/38112756?query=python,"['60', '000', '90', '000', 'руб.']",60000,90000,руб.,Москва,https://hh.ru
Senior Python developer,https://hh.ru/vacancy/30005963?query=python,"['от', '4', '000', 'USD']",4000,,USD,Москва,https://hh.ru
Senior python разработчик,https://hh.ru/vacancy/38090292?query=python,"['180', '000', '220', '000', 'руб.']",180000,220000,руб.,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38123256?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Python Developer,https://hh.ru/vacancy/37913284?query=python,"['от', '115', '000', 'руб.']",115000,,руб.,Санкт-Петербург,https://hh.ru
Back-end разработчик (Python),https://hh.ru/vacancy/37777964?query=python,"['100', '000', '180', '000', 'руб.']",100000,180000,руб.,Екатеринбург,https://hh.ru
Программист Python,https://hh.ru/vacancy/37641296?query=python,"['150', '000', '180', '000', 'руб.']",150000,180000,руб.,Москва,https://hh.ru
"Разработчик автоматических тестов GUI (Python, Squish)",https://hh.ru/vacancy/38036578?query=python,"['от', '3', '000', 'USD']",3000,,USD,Москва,https://hh.ru
Программист C++/Python,https://hh.ru/vacancy/37184106?query=python,"['от', '140', '000', 'руб.']",140000,,руб.,Москва,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/38148713?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/38157850?query=python,"['180', '000', '250', '000', 'руб.']",180000,250000,руб.,Москва,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37374546?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Москва,https://hh.ru
Программист на Python с базовым знанием С++,https://hh.ru/vacancy/37673701?query=python,"['140', '000', '200', '000', 'руб.']",140000,200000,руб.,Москва,https://hh.ru
Senior Python Backend Developer (Machine Learning),https://hh.ru/vacancy/37369634?query=python,"['от', '250', '000', 'руб.']",250000,,руб.,Москва,https://hh.ru
Разработчик Python + Django,https://hh.ru/vacancy/38127526?query=python,"['120', '000', '180', '000', 'руб.']",120000,180000,руб.,Екатеринбург,https://hh.ru
Python Developer,https://hh.ru/vacancy/38065880?query=python,,,,,Санкт-Петербург,https://hh.ru
Back-end Python/Django разработчик в стартап,https://hh.ru/vacancy/38126998?query=python,"['100', '000', '160', '000', 'руб.']",100000,160000,руб.,Москва,https://hh.ru
Python разработчик (моделирование движения транспорта в крупных городах),https://hh.ru/vacancy/37856031?query=python,"['100', '000', '160', '000', 'руб.']",100000,160000,руб.,Москва,https://hh.ru
Младший Python разработчик / Junior Python Developer (Back-end),https://hh.ru/vacancy/37530724?query=python,,,,,Санкт-Петербург,https://hh.ru
Python Developer на бэкенд,https://hh.ru/vacancy/38112757?query=python,"['60', '000', '90', '000', 'руб.']",60000,90000,руб.,Тверь,https://hh.ru
Python senior developer,https://hh.ru/vacancy/37115745?query=python,"['180', '000', '250', '000', 'руб.']",180000,250000,руб.,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/38146237?query=python,"['10', '000', '20', '000', 'руб.']",10000,20000,руб.,Ярославль,https://hh.ru
Python Developer (Numpy/pandas),https://hh.ru/vacancy/38092920?query=python,,,,,Санкт-Петербург,https://hh.ru
Python-разработчик в команду Data Science,https://hh.ru/vacancy/37998939?query=python,,,,,Санкт-Петербург,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37486302?query=python,"['130', '000', '220', '000', 'руб.']",130000,220000,руб.,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/38157875?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37953250?query=python,,,,,Санкт-Петербург,https://hh.ru
Python-разработчик системы защиты,https://hh.ru/vacancy/37571622?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Санкт-Петербург,https://hh.ru
Python Lead Engineer,https://hh.ru/vacancy/37642858?query=python,"['210', '000', '260', '000', 'руб.']",210000,260000,руб.,Санкт-Петербург,https://hh.ru
Python developer,https://hh.ru/vacancy/38088229?query=python,"['2', '500', '3', '500', 'USD']",2500,3500,USD,Нижний Новгород,https://hh.ru
Программист Python 3.0+,https://hh.ru/vacancy/38091195?query=python,,,,,Москва,https://hh.ru
Разработчик Python (удаленная работа),https://hh.ru/vacancy/38145341?query=python,"['от', '130', '000', 'руб.']",130000,,руб.,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/38106530?query=python,,,,,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38090770?query=python,"['от', '60', '000', 'руб.']",60000,,руб.,Москва,https://hh.ru
Junior Python разработчик,https://hh.ru/vacancy/37939109?query=python,,,,,Москва,https://hh.ru
Начинающий backend-разработчик (Python),https://hh.ru/vacancy/36774670?query=python,,,,,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/36541868?query=python,"['100', '000', '150', '000', 'руб.']",100000,150000,руб.,Челябинск,https://hh.ru
Программист Python,https://hh.ru/vacancy/37402770?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Backend Developer (Python),https://hh.ru/vacancy/37808186?query=python,"['60', '000', '90', '000', 'руб.']",60000,90000,руб.,Москва,https://hh.ru
Python developer удаленно,https://hh.ru/vacancy/37227093?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Краснодар,https://hh.ru
Backend разработчик на python,https://hh.ru/vacancy/37962587?query=python,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://hh.ru
Python-разработчик (Django),https://superjob.ru/vakansii/python-razrabotchik-34179289.html,"['до', '200', '000', 'руб.']",,200000,руб.,Москва,https://superjob.ru
Software / Solutions Architect with Python,https://superjob.ru/vakansii/software-34036604.html,,,,,Москва,https://superjob.ru
Преподаватель по курсу (Python для машинного обучения),https://superjob.ru/vakansii/prepodavatel-po-kursu-32448389.html,,,,,Москва,https://superjob.ru
Веб-программист Python,https://superjob.ru/vakansii/veb-programmist-python-34136472.html,,,,,Москва,https://superjob.ru
Python Developer,https://superjob.ru/vakansii/python-developer-34168955.html,"['160', '000', '—', '200', '000', 'руб.']",160000,—200,руб.,Москва,https://superjob.ru
Python developer,https://superjob.ru/vakansii/python-developer-34181571.html,"['150', '000', '—', '180', '000', 'руб.']",150000,—180,руб.,Москва,https://superjob.ru
Python developer,https://superjob.ru/vakansii/python-developer-34103348.html,"['180', '000', '—', '200', '000', 'руб.']",180000,—200,руб.,Москва,https://superjob.ru
Full-stack-веб-программист python/javascript,https://superjob.ru/vakansii/full-stack-veb-programmist-python-33998693.html,,,,,Москва,https://superjob.ru
PHP-программист,https://superjob.ru/vakansii/php-programmist-34186505.html,"['100', '000', '—', '120', '000', 'руб.']",100000,—120,руб.,Москва,https://superjob.ru
Аналитик данных (Data Analyst/Data Scientist),https://superjob.ru/vakansii/analitik-dannyh-34086302.html,,,,,Москва,https://superjob.ru
Специалист АСУ ТП,https://superjob.ru/vakansii/specialist-asu-tp-34139551.html,,,,,Москва,https://superjob.ru
"Системный администратор, IT-специалист",https://superjob.ru/vakansii/sistemnyj-administrator-34043930.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Администратор приложений hadoop,https://superjob.ru/vakansii/administrator-prilozhenij-hadoop-34185710.html,,,,,Москва,https://superjob.ru
Ведущий системный администратор,https://superjob.ru/vakansii/veduschij-sistemnyj-administrator-33495886.html,,,,,Москва,https://superjob.ru
Разработчик СУБД Greenplum /PosgreSQL,https://superjob.ru/vakansii/razrabotchik-subd-greenplum-34093903.html,,,,,Москва,https://superjob.ru
Data Scientist,https://superjob.ru/vakansii/data-scientist-34106148.html,,,,,Москва,https://superjob.ru
Специалист сектора операционной эффективности ресурсов,https://superjob.ru/vakansii/specialist-sektora-operacionnoj-effektivnosti-resursov-31814280.html,"['от', '50', '000', 'руб.']",50000,,руб.,Москва,https://superjob.ru
Программист Linux,https://superjob.ru/vakansii/programmist-linux-34183164.html,"['100', '000', '—', '125', '000', 'руб.']",100000,—125,руб.,Москва,https://superjob.ru
Data Engineer,https://superjob.ru/vakansii/data-engineer-34099004.html,,,,,Москва,https://superjob.ru
DevOps/Linux-инженер,https://superjob.ru/vakansii/devops-34083636.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Разработчик Python Backend,https://hh.ru/vacancy/37988131?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Senior/ Программист Python,https://hh.ru/vacancy/37951732?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/37983959?query=python,"['от', '100', '000', 'руб.']",100000,,руб.,Москва,https://hh.ru
Программист Python / С++,https://hh.ru/vacancy/37935113?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Воронеж,https://hh.ru
Python developer,https://hh.ru/vacancy/36267290?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Санкт-Петербург,https://hh.ru
Python developer (удаленно),https://hh.ru/vacancy/37227127?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Томск,https://hh.ru
Программист Python,https://hh.ru/vacancy/36541983?query=python,"['100', '000', '150', '000', 'руб.']",100000,150000,руб.,Екатеринбург,https://hh.ru
Junior Python Developer (разработчик),https://hh.ru/vacancy/37928725?query=python,,,,,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/38122267?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Москва,https://hh.ru
"Full-stack разработчик (Python, JavaScript)",https://hh.ru/vacancy/38088239?query=python,"['70', '000', '180', '000', 'руб.']",70000,180000,руб.,Москва,https://hh.ru
Backend разработчик (Python),https://hh.ru/vacancy/37340422?query=python,"['от', '100', '000', 'руб.']",100000,,руб.,Ульяновск,https://hh.ru
Программист Python,https://hh.ru/vacancy/36774840?query=python,"['75', '000', '120', '000', 'руб.']",75000,120000,руб.,Севастополь,https://hh.ru
Python developer (удаленно),https://hh.ru/vacancy/37227109?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Новосибирск,https://hh.ru
Ведущий программист Python,https://hh.ru/vacancy/37248482?query=python,"['160', '000', '245', '000', 'руб.']",160000,245000,руб.,Новосибирск,https://hh.ru
C++/python разработчик,https://hh.ru/vacancy/36742022?query=python,"['от', '100', '000', 'руб.']",100000,,руб.,Ростов-на-Дону,https://hh.ru
Django разработчик (python),https://hh.ru/vacancy/37673751?query=python,"['до', '150', '000', 'руб.']",,150000,руб.,Москва,https://hh.ru
Python разработчик,https://hh.ru/vacancy/38079250?query=python,"['от', '80', '000', 'руб.']",80000,,руб.,Нижний Новгород,https://hh.ru
Senior Python Developer,https://hh.ru/vacancy/37003043?query=python,"['от', '180', '000', 'руб.']",180000,,руб.,Санкт-Петербург,https://hh.ru
Web-разработчик на Python,https://hh.ru/vacancy/37757725?query=python,"['от', '140', '000', 'руб.']",140000,,руб.,Москва,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/38147288?query=python,"['до', '107', '000', 'руб.']",,107000,руб.,Краснодар,https://hh.ru
"Программист Full Stack, Python",https://hh.ru/vacancy/37877937?query=python,,,,,Вологда,https://hh.ru
Backend разработчик (Python),https://hh.ru/vacancy/38042145?query=python,"['1', '000', '2', '000', 'USD']",1000,2000,USD,Санкт-Петербург,https://hh.ru
Python Backend Developer,https://hh.ru/vacancy/37642402?query=python,"['110', '000', '160', '000', 'руб.']",110000,160000,руб.,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38121617?query=python,,,,,Санкт-Петербург,https://hh.ru
Python developer удаленно,https://hh.ru/vacancy/37227103?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Екатеринбург,https://hh.ru
Backend-разработчик на Python,https://hh.ru/vacancy/37901764?query=python,,,,,Екатеринбург,https://hh.ru
QA Automation Engineer (Python),https://hh.ru/vacancy/35419959?query=python,"['от', '3', '000', 'USD']",3000,,USD,Москва,https://hh.ru
Разработчик web-приложений Python,https://hh.ru/vacancy/37827508?query=python,"['80', '000', '240', '000', 'руб.']",80000,240000,руб.,Санкт-Петербург,https://hh.ru
Python 2.7 developer midlle,https://hh.ru/vacancy/38141831?query=python,"['2', '500', '3', '500', 'USD']",2500,3500,USD,Нижний Новгород,https://hh.ru
Python junior developer,https://hh.ru/vacancy/38143891?query=python,,,,,Липецк,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/37789829?query=python,"['от', '60', '000', 'руб.']",60000,,руб.,Екатеринбург,https://hh.ru
Backend разработчик на python,https://hh.ru/vacancy/37698711?query=python,"['от', '100', '000', 'руб.']",100000,,руб.,Москва,https://hh.ru
Python middle developer,https://hh.ru/vacancy/36449432?query=python,"['120', '000', '160', '000', 'руб.']",120000,160000,руб.,Москва,https://hh.ru
Программист Python (Senior) remote,https://hh.ru/vacancy/38042694?query=python,"['2', '500', '5', '500', 'USD']",2500,5500,USD,Москва,https://hh.ru
Python developer удаленно,https://hh.ru/vacancy/37227041?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/36774885?query=python,"['70', '000', '110', '000', 'руб.']",70000,110000,руб.,Рыбинск,https://hh.ru
Python разработчик,https://hh.ru/vacancy/38132138?query=python,"['до', '150', '000', 'руб.']",,150000,руб.,Екатеринбург,https://hh.ru
Python developer,https://hh.ru/vacancy/36267171?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38136431?query=python,,,,,Минск,https://hh.ru
Python Backend Разработчик,https://hh.ru/vacancy/37925567?query=python,"['25', '000', '40', '000', 'руб.']",25000,40000,руб.,Казань,https://hh.ru
Back-End Python разработчик (Middle/Senior),https://hh.ru/vacancy/38019682?query=python,"['160', '000', '220', '000', 'руб.']",160000,220000,руб.,Санкт-Петербург,https://hh.ru
Стажер-разработчик Python,https://hh.ru/vacancy/38007520?query=python,"['50', '000', '80', '000', 'руб.']",50000,80000,руб.,Севастополь,https://hh.ru
Разработчик C/Python,https://hh.ru/vacancy/35216674?query=python,,,,,Москва,https://hh.ru
Senior Python developer,https://hh.ru/vacancy/38087204?query=python,"['160', '000', '220', '000', 'руб.']",160000,220000,руб.,Санкт-Петербург,https://hh.ru
Программист Python (прикладная математика),https://hh.ru/vacancy/37920782?query=python,"['30', '000', '50', '000', 'руб.']",30000,50000,руб.,Ростов-на-Дону,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/38064957?query=python,"['20', '000', '70', '000', 'руб.']",20000,70000,руб.,Уфа,https://hh.ru
Программист Python,https://hh.ru/vacancy/37859951?query=python,"['от', '70', '000', 'руб.']",70000,,руб.,Екатеринбург,https://hh.ru
Стажер-программист Python,https://hh.ru/vacancy/37994762?query=python,"['от', '45', '000', 'руб.']",45000,,руб.,Казань,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37858293?query=python,"['от', '90', '000', 'руб.']",90000,,руб.,Новосибирск,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37685810?query=python,"['до', '60', '000', 'руб.']",,60000,руб.,Екатеринбург,https://hh.ru
Python-разработчик (Django),https://superjob.ru/vakansii/python-razrabotchik-34179289.html,"['до', '200', '000', 'руб.']",,200000,руб.,Москва,https://superjob.ru
Software / Solutions Architect with Python,https://superjob.ru/vakansii/software-34036604.html,,,,,Москва,https://superjob.ru
Преподаватель по курсу (Python для машинного обучения),https://superjob.ru/vakansii/prepodavatel-po-kursu-32448389.html,,,,,Москва,https://superjob.ru
Веб-программист Python,https://superjob.ru/vakansii/veb-programmist-python-34136472.html,,,,,Москва,https://superjob.ru
Python Developer,https://superjob.ru/vakansii/python-developer-34168955.html,"['160', '000', '—', '200', '000', 'руб.']",160000,—200,руб.,Москва,https://superjob.ru
Python developer,https://superjob.ru/vakansii/python-developer-34181571.html,"['150', '000', '—', '180', '000', 'руб.']",150000,—180,руб.,Москва,https://superjob.ru
Python developer,https://superjob.ru/vakansii/python-developer-34103348.html,"['180', '000', '—', '200', '000', 'руб.']",180000,—200,руб.,Москва,https://superjob.ru
Full-stack-веб-программист python/javascript,https://superjob.ru/vakansii/full-stack-veb-programmist-python-33998693.html,,,,,Москва,https://superjob.ru
PHP-программист,https://superjob.ru/vakansii/php-programmist-34186505.html,"['100', '000', '—', '120', '000', 'руб.']",100000,—120,руб.,Москва,https://superjob.ru
Аналитик данных (Data Analyst/Data Scientist),https://superjob.ru/vakansii/analitik-dannyh-34086302.html,,,,,Москва,https://superjob.ru
Специалист АСУ ТП,https://superjob.ru/vakansii/specialist-asu-tp-34139551.html,,,,,Москва,https://superjob.ru
"Системный администратор, IT-специалист",https://superjob.ru/vakansii/sistemnyj-administrator-34043930.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Администратор приложений hadoop,https://superjob.ru/vakansii/administrator-prilozhenij-hadoop-34185710.html,,,,,Москва,https://superjob.ru
Ведущий системный администратор,https://superjob.ru/vakansii/veduschij-sistemnyj-administrator-33495886.html,,,,,Москва,https://superjob.ru
Разработчик СУБД Greenplum /PosgreSQL,https://superjob.ru/vakansii/razrabotchik-subd-greenplum-34093903.html,,,,,Москва,https://superjob.ru
Data Scientist,https://superjob.ru/vakansii/data-scientist-34106148.html,,,,,Москва,https://superjob.ru
Специалист сектора операционной эффективности ресурсов,https://superjob.ru/vakansii/specialist-sektora-operacionnoj-effektivnosti-resursov-31814280.html,"['от', '50', '000', 'руб.']",50000,,руб.,Москва,https://superjob.ru
Программист Linux,https://superjob.ru/vakansii/programmist-linux-34183164.html,"['100', '000', '—', '125', '000', 'руб.']",100000,—125,руб.,Москва,https://superjob.ru
Data Engineer,https://superjob.ru/vakansii/data-engineer-34099004.html,,,,,Москва,https://superjob.ru
DevOps/Linux-инженер,https://superjob.ru/vakansii/devops-34083636.html,"['от', '80', '000', 'руб.']",80000,,руб.,Москва,https://superjob.ru
Разработчик Python,https://hh.ru/vacancy/38142885?query=python,,,,,Екатеринбург,https://hh.ru
"Backend-разработчик (Python, частичная занятость)",https://hh.ru/vacancy/38075098?query=python,,,,,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/37706591?query=python,,,,,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37822262?query=python,,,,,Ижевск,https://hh.ru
Программист Python,https://hh.ru/vacancy/37836538?query=python,"['от', '80', '000', 'руб.']",80000,,руб.,Екатеринбург,https://hh.ru
Python developer,https://hh.ru/vacancy/38000496?query=python,,,,,Казань,https://hh.ru
Backend-разработчик / Python developer,https://hh.ru/vacancy/37641098?query=python,"['70', '000', '135', '000', 'руб.']",70000,135000,руб.,Москва,https://hh.ru
Backend Developer JS + Python (Django),https://hh.ru/vacancy/37961734?query=python,,,,,Москва,https://hh.ru
Программист Python,https://hh.ru/vacancy/37045645?query=python,"['до', '200', '000', 'руб.']",,200000,руб.,Москва,https://hh.ru
Automation QA Engineer (Python),https://hh.ru/vacancy/37445343?query=python,"['до', '170', '000', 'руб.']",,170000,руб.,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38037181?query=python,"['от', '45', '000', 'руб.']",45000,,руб.,Саранск,https://hh.ru
Senior Python Developer,https://hh.ru/vacancy/37996813?query=python,"['180', '000', '200', '000', 'руб.']",180000,200000,руб.,Москва,https://hh.ru
GIS Engineer / Python Developer,https://hh.ru/vacancy/37635703?query=python,"['60', '000', '80', '000', 'руб.']",60000,80000,руб.,Санкт-Петербург,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/37748451?query=python,,,,,Москва,https://hh.ru
Разработчик на Python,https://hh.ru/vacancy/37993806?query=python,"['от', '40', '000', 'руб.']",40000,,руб.,Новосибирск,https://hh.ru
Python developer,https://hh.ru/vacancy/36497978?query=python,"['80', '000', '130', '000', 'руб.']",80000,130000,руб.,Новосибирск,https://hh.ru
Программист (Python),https://hh.ru/vacancy/37770204?query=python,,,,,Ижевск,https://hh.ru
Программист Python(Django),https://hh.ru/vacancy/38054244?query=python,,,,,Москва,https://hh.ru
Программист Python (Senior/TeamLead),https://hh.ru/vacancy/38081205?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
